,BLB,PendapatanbulananpurataisirumahkurangdaripadaPGK,Keadaantempattinggalusangataumulaiburuk,Lebih2ahliisirumahbilik,Menggunakantandasselaindaripadatandaspam,TiadakemudahanKutipanSampah,Semuaahliisirumahsamaadatidakmenggunakanpengangkutanpersendirian,Isirumahtidakmampumenyewadanmemilikirumah,Tidakmemilikitelefontaliantetapatautelefonbimbit,Tidakdapatmengaksesinternet,TidakmendapatkemudahanawamTeknologiICT,Semuaahliisirumahberumur1760tahunmempunyaikurangdaripada11tahunp,Kanakkanakantara616tahunyangtidakbersekolah,Pemeliharaanagama,Pemeliharaanakal,Pemeliharaannyawa,Pemeliharaanketurunan,Pemeliharaanharta,Pengambilanmakanankurangdaripadatiga3kalisehari,Selaindaripadabekalanairterawatdidalamrumahdanpaipairawampaipber,Cluster,Cluster_Name
83,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,Cluster_1
84,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
85,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,Cluster_1
86,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
87,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
88,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Cluster_0
89,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
90,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
91,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
92,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,Cluster_0
93,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
94,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
95,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,Cluster_0
96,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
97,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Cluster_0
98,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Cluster_0
99,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
100,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
101,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
102,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,Cluster_1
103,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
104,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
105,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,Cluster_1
106,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,Cluster_0
107,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
108,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
109,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,Cluster_0
110,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
111,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
112,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
113,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,Cluster_0
114,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
115,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,Cluster_0
116,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,Cluster_1
117,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
118,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,Cluster_1
119,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,Cluster_1
120,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,Cluster_1
121,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,Cluster_0
122,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,Cluster_1
123,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
124,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
125,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
126,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Cluster_0
127,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
128,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
129,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Cluster_0
130,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,Cluster_0
131,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
132,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,Cluster_0
133,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
134,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
